District,Soil Type,Crop,Ideal Season,Average Temperature (°C),Average Rainfall (mm),Yield (tons/acre)
Dharmapuri,Red Soil,Pulses,Feb-May,28,400,20
Dharmapuri,Black Soil,Millets,June-September,24,850,20
Dharmapuri,Red Loamy,Vegetables,Year-round,23,800,20
Dharmapuri,Black Soil,Sorghum,June-September,24,850,20
Dharmapuri,Red Soil,Black Gram,Oct-December,22,750,20
Dharmapuri,Black Soil,Green Gram,Oct-December,22,750,20
Dharmapuri,Red Loamy,Horse Gram,Oct-December,22,750,20
Dharmapuri,Black Soil,Coconut,Year-round,23,850,20
Dharmapuri,Red Soil,Onion,Nov-February,22,700,20
Dharmapuri,Black Soil,Tomato,Year-round,23,800,20
Dharmapuri,Red Loamy,Chillies,June-September,24,800,20
Dharmapuri,Black Soil,Tapioca,July-October,24,800,20
Dharmapuri,Red Soil,Sesame,June-August,24,825,20
Dharmapuri,Black Soil,Pearl Millet,June-September,24,850,20
Erode,Alluvial Soil,Banana,Kharif,29,800,20
Erode,Red Soil,Paddy,Kharif,28,850,20
Erode,Black Soil,Sugarcane,Kharif,30,900,20
Erode,Red Loamy,Groundnut,Kharif,29,700,20
Erode,Black Cotton,Vegetables,Year-round,28,800,20
Erode,Red Soil,Maize,Kharif,28,750,20
Erode,Black Soil,Pulses,Rabi,29,600,20
Erode,Red Loamy,Millets,Kharif,29,850,20
Erode,Black Cotton,Coconut,Year-round,28,900,20
Erode,Red Soil,Sorghum,Kharif,28,700,20
Erode,Black Soil,Finger Millet,Kharif,27,850,20
Erode,Red Loamy,Chillies,June-September,26,800,20
Erode,Black Cotton,Sesame,June-August,28,825,20
Erode,Red Soil,Onion,Nov-February,23,700,20
Erode,Black Soil,Tomato,Year-round,25,800,20
Erode,Red Loamy,Horse Gram,Oct-December,24,750,20
Erode,Black Cotton,Tapioca,July-October,24,800,20
Erode,Red Soil,Green Gram,Oct-December,24,750,20
Erode,Black Soil,Watermelon,Jan-March,25,400,20
Erode,Red Loamy,Black Gram,Oct-December,24,750,20
Kanyakumari,Laterite Soil,Rubber,Year-round,27,2500,20
Kanyakumari,Red Soil,Paddy,Kharif,28,1200,20
Kanyakumari,Sandy Soil,Coconut,Year-round,26,2000,20
Kanyakumari,Clayey Soil,Tapioca,Kharif,27,1500,20
Kanyakumari,Alluvial Soil,Vegetables,Year-round,27,1800,20
Kanyakumari,Red Loamy,Banana,Year-round,28,2200,20
Kanyakumari,Sandy Soil,Cashew,Year-round,26,2000,20
Kanyakumari,Laterite Soil,Black Gram,Kharif,27,1500,20
Kanyakumari,Red Soil,Green Gram,Rabi,28,1200,20
Kanyakumari,Clayey Soil,Vegetables,Year-round,27,1800,20
Kanyakumari,Alluvial Soil,Finger Millet,Kharif,27,1500,20
Kanyakumari,Red Loamy,Sorghum,Kharif,28,1200,20
Kanyakumari,Sandy Soil,Chillies,June-September,26,2000,20
Kanyakumari,Laterite Soil,Tomato,Year-round,27,1800,20
Kanyakumari,Red Soil,Onion,Nov-February,23,700,20
Kanyakumari,Clayey Soil,Watermelon,Jan-March,25,400,20
Kanyakumari,Alluvial Soil,Sesame,June-August,28,875,20
Kanyakumari,Red Loamy,Horse Gram,Oct-December,24,750,20
Kanyakumari,Sandy Soil,Tapioca,July-October,24,800,20
Kanyakumari,Laterite Soil,Pearl Millet,June-September,24,850,20
Karur,Red Soil,Cotton,Kharif,28,700,20
Karur,Black Soil,Groundnut,Kharif,29,600,20
Karur,Red Loamy,Paddy,Kharif,27,800,20
Karur,Black Cotton,Vegetables,Year-round,28,800,20
Karur,Red Soil,Maize,Kharif,28,750,20
Karur,Black Soil,Pulses,Rabi,29,600,20
Karur,Red Loamy,Millets,Kharif,29,850,20
Karur,Black Cotton,Coconut,Year-round,28,900,20
Karur,Red Soil,Sorghum,Kharif,28,700,20
Karur,Black Soil,Finger Millet,Kharif,27,850,20
Karur,Red Loamy,Chillies,June-September,26,800,20
Karur,Black Cotton,Sesame,June-August,28,825,20
Karur,Red Soil,Onion,Nov-February,23,700,20
Karur,Black Soil,Tomato,Year-round,25,800,20
Karur,Red Loamy,Horse Gram,Oct-December,24,750,20
Karur,Black Cotton,Tapioca,July-October,24,800,20
Karur,Red Soil,Green Gram,Oct-December,24,750,20
Karur,Black Soil,Watermelon,Jan-March,25,400,20
Karur,Red Loamy,Black Gram,Oct-December,24,750,20
Krishnagiri,Black Cotton,Vegetables,Year-round,28,800,20
Krishnagiri,Red Soil,Banana,Year-round,28,900,20
Krishnagiri,Black Soil,Coconut,Year-round,27,800,20
Krishnagiri,Red Loamy,Sorghum,Kharif,28,700,20
Krishnagiri,Black Cotton,Chillies,June-September,26,800,20
Krishnagiri,Red Soil,Sesame,June-August,28,825,20
Krishnagiri,Black Soil,Onion,Nov-February,23,700,20
Krishnagiri,Red Loamy,Tomato,Year-round,25,800,20
Krishnagiri,Black Cotton,Horse Gram,Oct-December,24,750,20
Krishnagiri,Red Soil,Green Gram,Oct-December,24,750,20
Krishnagiri,Black Soil,Watermelon,Jan-March,25,400,20
Krishnagiri,Red Loamy,Black Gram,Oct-December,24,750,20
Madurai,Black Cotton,Cotton,July-October,26,850,20
Madurai,Red Soil,Paddy,Sept-January,25,840,20
Madurai,Black Soil,Sugarcane,March-May,28,450,20
Madurai,Red Loamy,Groundnut,July-October,26,800,20
Madurai,Black Soil,Maize,June-September,27,850,20
Madurai,Red Soil,Pulses,Feb-May,29,400,20
Madurai,Black Cotton,Vegetables,Year-round,25,800,20
Madurai,Red Loamy,Millets,June-September,26,850,20
Madurai,Black Soil,Banana,Year-round,25,850,20
Madurai,Red Soil,Coconut,Year-round,25,800,20
Madurai,Black Cotton,Sorghum,June-September,27,850,20
Madurai,Red Loamy,Black Gram,Oct-December,24,750,20
Madurai,Black Soil,Green Gram,Oct-December,24,750,20
Madurai,Red Soil,Pearl Millet,June-September,27,850,20
Madurai,Black Cotton,Chillies,June-September,26,800,20
Madurai,Red Loamy,Sesame,June-August,27,825,20
Madurai,Black Soil,Onion,Nov-February,23,700,20
Madurai,Red Soil,Tomato,Year-round,25,800,20
Madurai,Black Cotton,Horse Gram,Oct-December,24,750,20
Madurai,Red Loamy,Finger Millet,June-September,26,850,20
Namakkal,Red Soil,Poultry,Year-round,28,700,20
Namakkal,Black Soil,Groundnut,Kharif,29,600,20
Namakkal,Red Loamy,Paddy,Kharif,27,800,20
Namakkal,Black Cotton,Vegetables,Year-round,28,800,20
Namakkal,Red Soil,Maize,Kharif,28,750,20
Namakkal,Black Soil,Pulses,Rabi,29,600,20
Namakkal,Red Loamy,Millets,Kharif,29,850,20
Namakkal,Black Cotton,Coconut,Year-round,28,900,20
Namakkal,Red Soil,Sorghum,Kharif,28,700,20
Namakkal,Black Soil,Finger Millet,Kharif,27,850,20
Namakkal,Red Loamy,Chillies,June-September,26,800,20
Namakkal,Black Cotton,Sesame,June-August,28,825,20
Namakkal,Red Soil,Onion,Nov-February,23,700,20
Namakkal,Black Soil,Tomato,Year-round,25,800,20
Namakkal,Red Loamy,Horse Gram,Oct-December,24,750,20
Namakkal,Black Cotton,Tapioca,July-October,24,800,20
Namakkal,Red Soil,Green Gram,Oct-December,24,750,20
Namakkal,Black Soil,Watermelon,Jan-March,25,400,20
Namakkal,Red Loamy,Black Gram,Oct-December,24,750,20
Namakkal,Black Cotton,Ragi,June-September,24,800,20
Perambalur,Red Soil,Cotton,Kharif,29,700,20
Perambalur,Black Soil,Sugarcane,Kharif,30,800,20
Perambalur,Red Loamy,Groundnut,Kharif,28,850,20
Perambalur,Black Cotton,Vegetables,Year-round,28,800,20
Perambalur,Red Soil,Maize,Kharif,28,750,20
Perambalur,Black Soil,Pulses,Rabi,29,600,20
Perambalur,Red Loamy,Millets,Kharif,29,850,20
Perambalur,Black Cotton,Coconut,Year-round,28,900,20
Perambalur,Red Soil,Sorghum,Kharif,28,700,20
Perambalur,Black Soil,Finger Millet,Kharif,27,850,20
Perambalur,Red Loamy,Chillies,June-September,26,800,20
Perambalur,Black Cotton,Sesame,June-August,28,825,20
Perambalur,Red Soil,Onion,Nov-February,23,700,20
Perambalur,Black Soil,Tomato,Year-round,25,800,20
Perambalur,Red Loamy,Horse Gram,Oct-December,24,750,20
Perambalur,Black Cotton,Tapioca,July-October,24,800,20
Perambalur,Red Soil,Green Gram,Oct-December,24,750,20
Perambalur,Black Soil,Watermelon,Jan-March,25,400,20
Perambalur,Red Loamy,Black Gram,Oct-December,24,750,20
Perambalur,Black Cotton,Ragi,June-September,24,800,20
Pudukkottai,Black Soil,Sorghum,Kharif,29,700,20
Pudukkottai,Red Soil,Pulses,Rabi,28,600,20
Pudukkottai,Red Loamy,Vegetables,Year-round,27,800,20
Pudukkottai,Black Cotton,Cotton,Kharif,30,800,20
Pudukkottai,Red Soil,Groundnut,Kharif,29,700,20
Pudukkottai,Black Soil,Maize,Kharif,29,750,20
Pudukkottai,Red Loamy,Millets,Kharif,29,850,20
Pudukkottai,Black Cotton,Coconut,Year-round,28,900,20
Pudukkottai,Red Soil,Sorghum,Kharif,28,700,20
Pudukkottai,Black Soil,Finger Millet,Kharif,27,850,20
Pudukkottai,Red Loamy,Chillies,June-September,26,800,20
Pudukkottai,Black Cotton,Sesame,June-August,28,825,20
Pudukkottai,Red Soil,Onion,Nov-February,23,700,20
Pudukkottai,Black Soil,Tomato,Year-round,25,800,20
Pudukkottai,Red Loamy,Horse Gram,Oct-December,24,750,20
Pudukkottai,Black Cotton,Tapioca,July-October,24,800,20
Pudukkottai,Red Soil,Green Gram,Oct-December,24,750,20
Pudukkottai,Black Soil,Watermelon,Jan-March,25,400,20
Pudukkottai,Red Loamy,Black Gram,Oct-December,24,750,20
Pudukkottai,Black Cotton,Ragi,June-September,24,800,20
Ramanathapuram,Sandy Soil,Coconut,Year-round,30,800,20
Ramanathapuram,Black Soil,Groundnut,Kharif,29,700,20
Ramanathapuram,Red Soil,Paddy,Kharif,28,850,20
Ramanathapuram,Black Cotton,Sugarcane,Kharif,30,900,20
Ramanathapuram,Red Loamy,Vegetables,Year-round,28,800,20
Ramanathapuram,Black Soil,Maize,Kharif,29,750,20
Ramanathapuram,Red Soil,Pulses,Rabi,28,600,20
Ramanathapuram,Black Cotton,Millets,Kharif,29,700,20
Ramanathapuram,Red Loamy,Sorghum,Kharif,28,700,20
Ramanathapuram,Black Soil,Finger Millet,Kharif,27,850,20
Ramanathapuram,Red Soil,Chillies,June-September,26,800,20
Ramanathapuram,Black Cotton,Sesame,June-August,28,825,20
Ramanathapuram,Red Loamy,Onion,Nov-February,23,700,20
Ramanathapuram,Black Soil,Tomato,Year-round,25,800,20
Ramanathapuram,Red Soil,Horse Gram,Oct-December,24,750,20
Ramanathapuram,Black Cotton,Tapioca,July-October,24,800,20
Ramanathapuram,Red Loamy,Green Gram,Oct-December,24,750,20
Ramanathapuram,Black Soil,Watermelon,Jan-March,25,400,20
Ramanathapuram,Red Soil,Black Gram,Oct-December,24,750,20
Ramanathapuram,Black Cotton,Ragi,June-September,24,800,20
Salem,Red Soil,Turmeric,June-August,22,850,20
Salem,Black Soil,Cotton,July-October,24,800,20
Salem,Red Loamy,Paddy,Kharif,23,850,20
Salem,Black Cotton,Vegetables,Year-round,25,800,20
Salem,Red Soil,Maize,Kharif,28,750,20
Salem,Black Soil,Pulses,Rabi,29,600,20
Salem,Red Loamy,Millets,Kharif,29,850,20
Salem,Black Cotton,Coconut,Year-round,28,900,20
Salem,Red Soil,Sorghum,Kharif,28,700,20
Salem,Black Soil,Finger Millet,Kharif,27,850,20
Salem,Red Loamy,Chillies,June-September,26,800,20
Salem,Black Cotton,Sesame,June-August,28,825,20
Salem,Red Soil,Onion,Nov-February,23,700,20
Salem,Black Soil,Tomato,Year-round,25,800,20
Salem,Red Loamy,Horse Gram,Oct-December,24,750,20
Salem,Black Cotton,Tapioca,July-October,24,800,20
Salem,Red Soil,Green Gram,Oct-December,24,750,20
Salem,Black Soil,Watermelon,Jan-March,25,400,20
Salem,Red Loamy,Black Gram,Oct-December,24,750,20
Salem,Black Cotton,Ragi,June-September,24,800,20
Sivagangai,Black Soil,Sorghum,Kharif,29,700,20
Sivagangai,Red Soil,Pulses,Rabi,28,600,20
Sivagangai,Red Loamy,Vegetables,Year-round,27,800,20
Sivagangai,Black Cotton,Cotton,Kharif,30,800,20
Sivagangai,Red Soil,Groundnut,Kharif,29,700,20
Sivagangai,Black Soil,Maize,Kharif,29,750,20
Sivagangai,Red Loamy,Millets,Kharif,29,850,20
Sivagangai,Black Cotton,Coconut,Year-round,28,900,20
Sivagangai,Red Soil,Sorghum,Kharif,28,700,20
Sivagangai,Black Soil,Finger Millet,Kharif,27,850,20
Sivagangai,Red Loamy,Chillies,June-September,26,800,20
Sivagangai,Black Cotton,Sesame,June-August,28,825,20
Sivagangai,Red Soil,Onion,Nov-February,23,700,20
Sivagangai,Black Soil,Tomato,Year-round,25,800,20
Sivagangai,Red Loamy,Horse Gram,Oct-December,24,750,20
Sivagangai,Black Cotton,Tapioca,July-October,24,800,20
Sivagangai,Red Soil,Green Gram,Oct-December,24,750,20
Sivagangai,Black Soil,Watermelon,Jan-March,25,400,20
Sivagangai,Red Loamy,Black Gram,Oct-December,24,750,20
Sivagangai,Black Cotton,Ragi,June-September,24,800,20
Thanjavur,Alluvial Soil,Rice,Kharif,28,1200,20
Thanjavur,Red Soil,Sugarcane,Kharif,29,900,20
Thanjavur,Black Soil,Groundnut,Kharif,28,700,20
Thanjavur,Red Loamy,Vegetables,Year-round,27,850,20
Thanjavur,Black Cotton,Maize,Kharif,28,750,20
Thanjavur,Red Soil,Pulses,Rabi,29,600,20
Thanjavur,Black Soil,Millets,Kharif,29,850,20
Thanjavur,Red Loamy,Chillies,June-September,26,800,20
Thanjavur,Black Cotton,Sesame,June-August,28,825,20
Thanjavur,Red Soil,Onion,Nov-February,23,700,20
Thanjavur,Black Soil,Tomato,Year-round,25,800,20
Thanjavur,Red Loamy,Horse Gram,Oct-December,24,750,20
Thanjavur,Black Cotton,Tapioca,July-October,24,800,20
Thanjavur,Red Soil,Green Gram,Oct-December,24,750,20
Thanjavur,Black Soil,Watermelon,Jan-March,25,400,20
Thanjavur,Red Loamy,Black Gram,Oct-December,24,750,20
Thanjavur,Black Cotton,Ragi,June-September,24,800,20
Thanjavur,Red Soil,Sorghum,Kharif,28,700,20
Thanjavur,Black Soil,Finger Millet,Kharif,27,850,20
Thanjavur,Red Loamy,Cashew,Year-round,28,900,20
Thanjavur,Alluvial Soil,Rice,Kharif,28,1200,20
Thanjavur,Red Soil,Sugarcane,Kharif,29,900,20
Thanjavur,Black Soil,Groundnut,Kharif,28,700,20
Thanjavur,Red Loamy,Vegetables,Year-round,27,850,20
Thanjavur,Black Cotton,Maize,Kharif,28,750,20
Thanjavur,Red Soil,Pulses,Rabi,29,600,20
Thanjavur,Black Soil,Millets,Kharif,29,850,20
Thanjavur,Red Loamy,Chillies,June-September,26,800,20
Thanjavur,Black Cotton,Sesame,June-August,28,825,20
Thanjavur,Red Soil,Onion,Nov-February,23,700,20
Thanjavur,Black Soil,Tomato,Year-round,25,800,20
Thanjavur,Red Loamy,Horse Gram,Oct-December,24,750,20
Thanjavur,Black Cotton,Tapioca,July-October,24,800,20
Thanjavur,Red Soil,Green Gram,Oct-December,24,750,20
Thanjavur,Black Soil,Watermelon,Jan-March,25,400,20
Thanjavur,Red Loamy,Black Gram,Oct-December,24,750,20
Thanjavur,Black Cotton,Ragi,June-September,24,800,20
Thanjavur,Red Soil,Sorghum,Kharif,28,700,20
Thanjavur,Black Soil,Finger Millet,Kharif,27,850,20
Thanjavur,Red Loamy,Cashew,Year-round,28,900,20
Tiruppur,Red Soil,Cotton,Kharif,29,700,20
Tiruppur,Black Soil,Groundnut,Kharif,29,600,20
Tiruppur,Red Loamy,Paddy,Kharif,28,850,20
Tiruppur,Black Cotton,Sugarcane,Kharif,30,900,20
Tiruppur,Red Soil,Vegetables,Year-round,28,800,20
Tiruppur,Black Soil,Maize,Kharif,29,750,20
Tiruppur,Red Loamy,Millets,Kharif,29,850,20
Tiruppur,Black Cotton,Coconut,Year-round,28,900,20
Tiruppur,Red Soil,Sorghum,Kharif,28,700,20
Tiruppur,Black Soil,Finger Millet,Kharif,27,850,20
Tiruppur,Red Loamy,Chillies,June-September,26,800,20
Tiruppur,Black Cotton,Sesame,June-August,28,825,20
Tiruppur,Red Soil,Onion,Nov-February,23,700,20
Tiruppur,Black Soil,Tomato,Year-round,25,800,20
Tiruppur,Red Loamy,Horse Gram,Oct-December,24,750,20
Tiruppur,Black Cotton,Tapioca,July-October,24,800,20
Tiruppur,Red Soil,Green Gram,Oct-December,24,750,20
Tiruppur,Black Soil,Watermelon,Jan-March,25,400,20
Tiruppur,Red Loamy,Black Gram,Oct-December,24,750,20
Tiruppur,Black Cotton,Ragi,June-September,24,800,20
Vellore,Red Soil,Paddy,Kharif,28,850,20
Vellore,Black Soil,Sugarcane,Kharif,30,900,20
Vellore,Red Loamy,Groundnut,Kharif,29,700,20
Vellore,Black Cotton,Vegetables,Year-round,28,800,20
Vellore,Red Soil,Maize,Kharif,28,750,20
Vellore,Black Soil,Pulses,Rabi,29,600,20
Vellore,Red Loamy,Millets,Kharif,29,850,20
Vellore,Black Cotton,Coconut,Year-round,28,900,20
Vellore,Red Soil,Sorghum,Kharif,28,700,20
Vellore,Black Soil,Finger Millet,Kharif,27,850,20
Vellore,Red Loamy,Chillies,June-September,26,800,20
Vellore,Black Cotton,Sesame,June-August,28,825,20
Vellore,Red Soil,Onion,Nov-February,23,700,20
Vellore,Black Soil,Tomato,Year-round,25,800,20
Vellore,Red Loamy,Horse Gram,Oct-December,24,750,20
Vellore,Black Cotton,Tapioca,July-October,24,800,20
Vellore,Red Soil,Green Gram,Oct-December,24,750,20
Vellore,Black Soil,Watermelon,Jan-March,25,400,20
Vellore,Red Loamy,Black Gram,Oct-December,24,750,20
Vellore,Black Cotton,Ragi,June-September,24,800,20
Virudhunagar,Red Soil,Cotton,Kharif,29,700,20
Virudhunagar,Black Soil,Groundnut,Kharif,29,600,20
Virudhunagar,Red Loamy,Paddy,Kharif,28,850,20
Virudhunagar,Black Cotton,Sugarcane,Kharif,30,900,20
Virudhunagar,Red Soil,Vegetables,Year-round,28,800,20
Virudhunagar,Black Soil,Maize,Kharif,29,750,20
Virudhunagar,Red Loamy,Millets,Kharif,29,850,20
Virudhunagar,Black Cotton,Coconut,Year-round,28,900,20
Virudhunagar,Red Soil,Sorghum,Kharif,28,700,20
Virudhunagar,Black Soil,Finger Millet,Kharif,27,850,20
Virudhunagar,Red Loamy,Chillies,June-September,26,800,20
Virudhunagar,Black Cotton,Sesame,June-August,28,825,20
Virudhunagar,Red Soil,Onion,Nov-February,23,700,20
Virudhunagar,Black Soil,Tomato,Year-round,25,800,20
Virudhunagar,Red Loamy,Horse Gram,Oct-December,24,750,20
Virudhunagar,Black Cotton,Tapioca,July-October,24,800,20
Virudhunagar,Red Soil,Green Gram,Oct-December,24,750,20
Virudhunagar,Black Soil,Watermelon,Jan-March,25,400,20
Virudhunagar,Red Loamy,Black Gram,Oct-December,24,750,20
Virudhunagar,Black Cotton,Ragi,June-September,24,800,20

ARIYALUR,Kharif     ,Rice,,20.87974371,202.9355362
ARIYALUR,Whole Year ,Arhar/Tur,,21.77046169,226.6555374
ARIYALUR,Whole Year ,Bajra,,23.00445915,263.9642476
ARIYALUR,Whole Year ,Banana,,26.49109635,242.8640342
ARIYALUR,Whole Year ,Cashewnut,,20.13017482,262.7173405
ARIYALUR,Whole Year ,Castor seed,,23.05804872,251.0549998
ARIYALUR,Whole Year ,Coconut ,,22.70883798,271.3248604
ARIYALUR,Whole Year ,Coriander,,20.27774362,241.9741949
ARIYALUR,Whole Year ,Cotton(lint),,24.51588066,230.4462359
ARIYALUR,Whole Year ,Dry chillies,,23.22397386,221.2091958
ARIYALUR,Whole Year ,Groundnut,,26.52723513,264.6148697
ARIYALUR,Whole Year ,Jowar,,23.97898217,250.0832336
ARIYALUR,Whole Year ,Maize,,26.80079604,284.4364567
ARIYALUR,Whole Year ,Moong(Green Gram),,24.01497622,185.2773389
ARIYALUR,Whole Year ,Onion,,25.66585205,209.5869708
ARIYALUR,Whole Year ,Ragi,,24.28209415,231.0863347
ARIYALUR,Whole Year ,Sugarcane,,21.58711777,276.6552459
ARIYALUR,Whole Year ,Sunflower,,23.79391957,206.2611855
ARIYALUR,Whole Year ,Sweet potato,,21.8652524,224.5550169
ARIYALUR,Whole Year ,Tapioca,,23.57943626,291.2986618
ARIYALUR,Whole Year ,Turmeric,,21.32504158,185.4974732
ARIYALUR,Whole Year ,Urad,,25.15745531,231.3843163
ARIYALUR,Kharif     ,Rice,80462,21.94766735,213.3560921
ARIYALUR,Kharif     ,Small millets,649,21.0525355,233.1075816
ARIYALUR,Whole Year ,Arhar/Tur,122,23.48381344,224.0581164
ARIYALUR,Whole Year ,Bajra,1082,25.0756354,257.0038865
ARIYALUR,Whole Year ,Banana,5761,26.35927159,271.3586137
ARIYALUR,Whole Year ,Cashewnut,9975,24.52922681,260.2634026
ARIYALUR,Whole Year ,Castor seed,6,20.77576147,240.0810647
ARIYALUR,Whole Year ,Coconut ,5200,22.30157427,197.9791215
ARIYALUR,Whole Year ,Coriander,134,21.44653958,272.2017204
ARIYALUR,Whole Year ,Cotton(lint),11033,22.17931888,200.0882787
ARIYALUR,Whole Year ,Dry chillies,608,24.52783742,224.6757231
ARIYALUR,Whole Year ,Groundnut,27002,20.26707606,270.4417274
ARIYALUR,Whole Year ,Jowar,7043,25.7354293,233.1321372
ARIYALUR,Whole Year ,Maize,23891,26.79533926,193.3473987
ARIYALUR,Whole Year ,Moong(Green Gram),11,26.75754171,272.2999056
ARIYALUR,Whole Year ,Onion,458,23.86330467,285.2493645
ARIYALUR,Whole Year ,Ragi,130,21.01944696,298.4018471
ARIYALUR,Whole Year ,Sesamum,452,24.17298839,257.0343554
ARIYALUR,Whole Year ,Sugarcane,809944,22.78133816,248.7183228
ARIYALUR,Whole Year ,Sunflower,148,25.62980105,209.9001977
ARIYALUR,Whole Year ,Sweet potato,29,25.59704938,200.834898
ARIYALUR,Whole Year ,Tapioca,8858,23.83067496,298.5601175
ARIYALUR,Whole Year ,Turmeric,106,26.31355498,265.5355937
ARIYALUR,Whole Year ,Urad,400,24.8972823,183.6793207
ARIYALUR,Kharif     ,Arhar/Tur,138,24.958779,196.9560008
ARIYALUR,Kharif     ,Castor seed,7,23.24113501,233.0453455
ARIYALUR,Kharif     ,Cotton(lint),9361,21.66628296,210.8142087
ARIYALUR,Kharif     ,Groundnut,37266,24.63544858,253.7202781
ARIYALUR,Kharif     ,Maize,8630,23.43121862,219.9048349
ARIYALUR,Kharif     ,Moong(Green Gram),2,20.0454142,208.5810155
ARIYALUR,Kharif     ,Ragi,109,23.85724032,195.0948311
ARIYALUR,Kharif     ,Rice,97869,21.97199397,227.3637009
ARIYALUR,Kharif     ,Sunflower,245,26.22916897,286.5083725
ARIYALUR,Kharif     ,Urad,741,23.44676801,283.9338466
ARIYALUR,Whole Year ,Sugarcane,739006,25.65553461,217.3788583
ARIYALUR,Kharif     ,Bajra,1499,24.44345477,267.9761948
ARIYALUR,Kharif     ,Cotton(lint),36179,20.2801937,191.9535738
ARIYALUR,Kharif     ,Groundnut,35766,21.7238313,277.9626192
ARIYALUR,Kharif     ,Jowar,2114,20.41447029,245.1511304
ARIYALUR,Kharif     ,Maize,60881,25.75528612,245.6626799
ARIYALUR,Kharif     ,Ragi,37,20.61521424,279.5451717
ARIYALUR,Kharif     ,Rice,97257,21.84106875,202.3838319
ARIYALUR,Rabi       ,Bajra,18,20.08369642,263.6372176
ARIYALUR,Rabi       ,Cotton(lint),413,24.45802087,182.5616319
ARIYALUR,Rabi       ,Groundnut,18093,21.14347496,198.6730942
ARIYALUR,Rabi       ,Jowar,22,25.78720567,243.5120414
ARIYALUR,Rabi       ,Maize,2374,23.64124821,263.1103304
ARIYALUR,Rabi       ,Ragi,9,23.43191632,269.5039162
ARIYALUR,Whole Year ,Arhar/Tur,167,24.97669518,204.8001847
ARIYALUR,Whole Year ,Banana,6292,22.72791041,260.8875056
ARIYALUR,Whole Year ,Cashewnut,6468,24.87300744,295.6094492
ARIYALUR,Whole Year ,Castor seed,8,21.32376327,192.3197536
ARIYALUR,Whole Year ,Coconut ,2600000,26.29465461,257.4914906
ARIYALUR,Whole Year ,Coriander,35,22.2286982,278.0791793
ARIYALUR,Whole Year ,Dry chillies,509,26.73072391,280.4044392
ARIYALUR,Whole Year ,Moong(Green Gram),4,24.88921174,185.9461429
ARIYALUR,Whole Year ,Onion,329,26.88444878,194.5766559
ARIYALUR,Whole Year ,Small millets,705,22.67846116,200.9133156
ARIYALUR,Whole Year ,Sugarcane,880259,26.08867875,182.9043504
ARIYALUR,Whole Year ,Sunflower,418,25.42977518,195.3574542
